setAuthorName	setAuthorEmail	setOrganization	setExperimentTitle	setName	setDescription	setURI	setTool	setTool(Date)	addAlgorithm	addAlgorithm(URI)	setTargetClass	setStartsAtPosition	setEndsAtPosition	addPerformance	setTargetClass	setStartsAtPosition	setEndsAtPosition	addPerformance
Brants	emailexample@aclweb.org	Universitat des Saarlandes	ACL POS Tagging - TnT	WSJ	Wall Street Journal (WSJ) release 3 (LDC99T42)	https://catalog.ldc.upenn.edu/LDC99T42	TnT	26 Oct 1998	tnt	http://www.coli.uni-saarland.de/~thorsten/tnt/	All tokens	section 0	section 18	0.9646	Unknown words	section 0	section 18	0.8586
Vivi Nastase	emailexample@aclweb.org	University of Ottawa	Noun-Modifier Semantic Relations (State of the art)	Baseline 	Majority class (Participant) 	http://www.aclweb.org/aclwiki/index.php?title=Noun-Modifier_Semantic_Relations_(State_of_the_art)	Baseline 		Baseline 					43.3				47.3
Vivi Nastase	emailexample@aclweb.org	University of Ottawa	Noun-Modifier Semantic Relations (State of the art)	VSM 	Turney and Littman (2005) 	http://www.aclweb.org/aclwiki/index.php?title=Noun-Modifier_Semantic_Relations_(State_of_the_art)	VSM 		VSM 					45.7				49.7
Vivi Nastase	emailexample@aclweb.org	University of Ottawa	Noun-Modifier Semantic Relations (State of the art)	SVM+28 	Nulty (2007) 	http://www.aclweb.org/aclwiki/index.php?title=Noun-Modifier_Semantic_Relations_(State_of_the_art)	SVM+28 		SVM+28 					50.1				54.09
Vivi Nastase	emailexample@aclweb.org	University of Ottawa	Noun-Modifier Semantic Relations (State of the art)	PERT 	Turney (2006a) 	http://www.aclweb.org/aclwiki/index.php?title=Noun-Modifier_Semantic_Relations_(State_of_the_art)	PERT 		PERT 					54				57.95
Vivi Nastase	emailexample@aclweb.org	University of Ottawa	Noun-Modifier Semantic Relations (State of the art)	TiMBL+WordNet 	Nastase et al. (2006)	http://www.aclweb.org/aclwiki/index.php?title=Noun-Modifier_Semantic_Relations_(State_of_the_art)	TiMBL+WordNet 		TiMBL+WordNet 					51.5				51.5
Vivi Nastase	emailexample@aclweb.org	University of Ottawa	Noun-Modifier Semantic Relations (State of the art)	LRA 	Turney (2006b)	http://www.aclweb.org/aclwiki/index.php?title=Noun-Modifier_Semantic_Relations_(State_of_the_art)	LRA 		LRA 					58				61.89
Kudo and Matsumoto (2000), CONLL 	emailexample@aclweb.org	Not Informed	NP Chunking (State of the art)	KM00 	B-I-O tagging using SVM classifiers with polynomial kernel	http://aclweb.org/aclwiki/index.php?title=NP_Chunking_(State_of_the_art)	KM00 	2000	KM00 	http://aclweb.org/aclwiki/index.php?title=NP_Chunking_(State_of_the_art)				93.79				0
Kudo and Matsumoto (2000), CONLL 	emailexample@aclweb.org	Not Informed	NP Chunking (State of the art)	KM01 	learning as in KM00, but voting between different representations 	http://aclweb.org/aclwiki/index.php?title=NP_Chunking_(State_of_the_art)	KM01 	2001	KM01 	http://aclweb.org/aclwiki/index.php?title=NP_Chunking_(State_of_the_art)				94.22				0
Kudo and Matsumoto (2000), CONLL 	emailexample@aclweb.org	Not Informed	NP Chunking (State of the art)	SP03 	Second order conditional random fields	http://aclweb.org/aclwiki/index.php?title=NP_Chunking_(State_of_the_art)	SP03 	2003	SP03 	http://aclweb.org/aclwiki/index.php?title=NP_Chunking_(State_of_the_art)				94.3				0
Kudo and Matsumoto (2000), CONLL 	emailexample@aclweb.org	Not Informed	NP Chunking (State of the art)	SS05 	specialized HMM + voting between different representations 	http://aclweb.org/aclwiki/index.php?title=NP_Chunking_(State_of_the_art)	SS05 	2005	SS05 	http://aclweb.org/aclwiki/index.php?title=NP_Chunking_(State_of_the_art)				95.23				0
Kudo and Matsumoto (2000), CONLL 	emailexample@aclweb.org	Not Informed	NP Chunking (State of the art)	M05 	Second order conditional random fields + multi-label classification 	http://aclweb.org/aclwiki/index.php?title=NP_Chunking_(State_of_the_art)	M05 	2005	M05 	http://aclweb.org/aclwiki/index.php?title=NP_Chunking_(State_of_the_art)				94.29				0
Kudo and Matsumoto (2000), CONLL 	emailexample@aclweb.org	Not Informed	NP Chunking (State of the art)	V06 	Conditional random fields + Stochastic Meta Decent (SMD) 	http://aclweb.org/aclwiki/index.php?title=NP_Chunking_(State_of_the_art)	V06 	2006	V06 	http://aclweb.org/aclwiki/index.php?title=NP_Chunking_(State_of_the_art)				93.6				0
Kudo and Matsumoto (2000), CONLL 	emailexample@aclweb.org	Not Informed	NP Chunking (State of the art)	S08 	Second order latent-dynamic conditional random fields + an improved inference method based on A* search	http://aclweb.org/aclwiki/index.php?title=POS_Induction_(State_of_the_art)#Software	S08 	2008	S08 	http://aclweb.org/aclwiki/index.php?title=NP_Chunking_(State_of_the_art)				94.34				0
